,dates,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
0,2016-01-03 05:39:16+00:00,102.08607521371663,105.03058746157328,216.14443297103813,169.22245676957812,149.75049195325292,121.99744665442226,112.82732243729532,112.91819864619097,94.16823961951143,87.18747223392946,89.1097757508242
1,2016-02-02 05:37:03+00:00,100.51180338570863,102.20516996007643,104.99321956956116,108.37637559185085,143.9387218014785,105.5381784914493,116.3786594321108,106.47814362922165,87.18285712827628,89.47198461798386,98.23357174466017
2,2016-02-12 05:37:02+00:00,108.57285803978381,112.7670360605692,114.07108072688632,119.13907549685483,165.05403450498414,146.7363802273459,120.3994609618952,114.69706630561751,89.53214930043276,93.36623707922304,103.30245570483262
3,2016-03-18 05:25:01+00:00,100.31875029200847,98.84698011794005,96.79142470731195,95.68454780418477,162.87200779039088,150.32710021709084,130.8988138481632,98.81852125573153,92.92266976775606,98.6163230650789,98.61638096928924
4,2016-03-23 05:32:16+00:00,110.1751380129229,115.43183423944451,126.46791809335203,128.60714739877415,174.84367933751895,152.04949388769447,117.83639668786944,79.48398206733906,75.60834919882092,80.6291974571125,90.91908048226084
5,2016-04-03 05:24:52+00:00,100.68883819946424,98.49530122022915,96.99929224558934,96.92162289351111,150.5862734043868,161.75628296405353,123.92965802842056,94.717059019476,93.67978759127683,96.99852485526408,100.36336381353325
6,2016-04-22 05:37:18+00:00,104.1038703047094,108.80064104790976,120.23595010799417,123.31877185419928,157.30126354386266,139.53913118636103,97.96115778819774,76.49234589871426,69.28486619727451,76.35815697302642,90.64533620004245
7,2016-05-22 05:37:22+00:00,100.52228481294658,104.26282758571105,121.33417787094754,130.16618213488758,145.38473010585517,123.48247155675557,94.10016179521146,77.0449033028171,67.46982102149671,71.23776871809712,84.59842375290911
8,2016-06-06 05:24:54+00:00,113.28152226025705,97.34969304983919,95.4715621419997,98.93036651966924,103.950318636504,109.97650250189255,96.05937689501948,88.5387885079185,90.7861556772976,96.6509379825723,106.85953038591417
9,2016-06-11 05:37:19+00:00,116.28724547017441,110.78981547345921,106.97813683643534,103.67454871508077,96.0793181449683,90.31103014001714,87.04786785746612,79.93671576004068,86.98381299218964,97.63886621667757,110.77228514143083
10,2016-07-08 05:25:07+00:00,137.65368447406598,134.5775361789363,102.22015359586742,95.95649316865429,98.80272409361467,98.46689744299006,101.52283094274611,93.11988151722889,92.64722364038003,98.75554534250934,110.018917338611
11,2016-07-11 05:37:19+00:00,145.0288379587953,136.49898988373502,113.44269824690767,107.13047083899616,91.99417682300947,89.23974850322831,86.37958243081937,79.1269745519578,82.825716683544,93.42142087020983,115.84196401948168
12,2016-08-09 05:25:15+00:00,136.82064881148477,128.99922524897244,99.29649954098005,93.62597442295288,93.41476386477719,96.758282524768,99.49653280220632,91.41852726286449,88.39409483036101,97.67870552628744,128.72579635301236
13,2016-08-10 05:37:19+00:00,144.1249423990323,130.80238676637475,101.66205587497211,98.99994886906687,89.12145355858569,93.18363130165518,96.8965340256877,90.22087106463303,92.97132880245674,102.44601606385153,124.10009487744934
14,2016-08-25 05:25:22+00:00,132.7362942194491,124.23078477596582,93.71616273100484,96.51766809797898,94.85275146159832,99.38189460234781,102.03964741918729,93.39063193959308,90.30419596874087,97.88050178856248,125.42049381256292
15,2016-09-09 05:37:14+00:00,152.19493287943948,136.01223051275642,106.77484333773185,104.37355605065773,90.10510743434402,92.22271338796293,96.12437089268445,89.50207440071819,92.01849485507086,105.28960012229277,138.83363312655678
16,2016-09-10 05:25:26+00:00,131.6045119726417,123.61812005303976,96.04318542959479,96.33384217670927,92.5743478419717,99.76698158052277,101.95907856894668,91.30508217047306,88.88585544264858,98.1665495499167,129.88462288990914
17,2016-09-19 05:37:11+00:00,134.7590084924477,128.98032951587678,107.27222193327789,109.61966299447667,101.71213913544375,102.97547751312658,101.08110596530045,90.13013802446687,85.66547910123317,93.03774630224135,112.12938804146039
18,2016-09-26 05:25:27+00:00,128.25541280524976,118.4639897056488,95.03258371572421,95.9836637087841,90.07127693424137,95.44862449505727,100.60157914141564,94.21046337145049,92.56689979531872,99.41133342963117,129.88763215310283
19,2016-09-29 05:37:11+00:00,126.8252955488175,118.09754945395181,107.85697300217319,110.21026254986356,100.26998199999278,98.12814354033281,97.86127877030826,86.85918140831069,87.27240012732953,95.5680423661212,107.58978817571244
20,2016-10-19 05:37:11+00:00,137.19988869175987,136.66852790830143,109.00842506838646,103.50139082209147,93.6296768640362,96.97736967354909,97.72688563664619,91.67746693999287,97.67756928661463,115.58495889067548,128.4637370305375
21,2016-11-08 05:37:14+00:00,152.508615490912,147.09975282441462,109.66494550231734,104.23747019368238,92.18918161848276,97.19155193035789,100.85942310630247,93.34285582852831,98.55779081025081,116.96004445444784,140.22585419116217
22,2016-11-28 05:37:14+00:00,131.32867303578035,129.70685507214327,113.58032909019909,104.94593725604665,102.09416913023267,103.28872759311737,103.52797457054331,97.23143382360709,101.08342880824988,104.05045571517839,118.3078295545786
23,2016-12-15 05:25:29+00:00,140.98693983169872,140.43480587022452,141.93774061723846,106.47357180913556,96.73943988468007,100.1604240586534,102.91662603315314,96.97052590501696,117.79749740760228,118.44600024807984,137.93654334134706
24,2016-12-18 05:37:10+00:00,136.20731635772995,136.90770361502294,120.7870780424554,104.33501040144735,95.88669782966414,103.76280831179879,104.12782989802648,92.5804500591138,105.66363685191276,110.1483526480802,126.93627242997647
