date,transect_id,NDVI
2016-06-11,T17,
2016-06-11,T18,
2016-06-11,T19,
2016-07-08,T1,-0.32398033142089844
2016-07-08,T2,-0.32398033142089844
2016-07-08,T3,-0.32398033142089844
2016-07-08,T4,-0.32398033142089844
2016-07-08,T5,-0.32398033142089844
2016-07-08,T6,-0.32398033142089844
2016-07-08,T7,-0.32398033142089844
2016-07-08,T8,-0.32398033142089844
2016-07-08,T9,-0.32398033142089844
2016-07-08,T10,-0.32398033142089844
2016-07-08,T11,-0.32398033142089844
2016-07-08,T12,-0.32398033142089844
2016-07-08,T13,-0.32398033142089844
2016-07-08,T14,-0.32398033142089844
2016-07-08,T15,-0.32398033142089844
2016-07-08,T16,-0.32398033142089844
2016-07-08,T17,-0.32398033142089844
2016-07-08,T18,-0.32398033142089844
2016-07-08,T19,-0.32398033142089844
2016-07-11,T1,
2016-07-11,T2,
2016-07-11,T3,
2016-07-11,T4,
2016-07-11,T5,
2016-07-11,T6,
2016-07-11,T7,
2016-07-11,T8,
2016-07-11,T9,
2016-07-11,T10,
2016-07-11,T11,
2016-07-11,T12,
2016-07-11,T13,
2016-07-11,T14,
2016-07-11,T15,
2016-07-11,T16,
2016-07-11,T17,
2016-07-11,T18,
2016-07-11,T19,
2016-08-09,T1,-0.2723347246646881
2016-08-09,T2,-0.2723347246646881
2016-08-09,T3,-0.2723347246646881
2016-08-09,T4,-0.2723347246646881
2016-08-09,T5,-0.2723347246646881
2016-08-09,T6,-0.2723347246646881
2016-08-09,T7,-0.2723347246646881
2016-08-09,T8,-0.2723347246646881
2016-08-09,T9,-0.2723347246646881
2016-08-09,T10,-0.2723347246646881
2016-08-09,T11,-0.2723347246646881
2016-08-09,T12,-0.2723347246646881
2016-08-09,T13,-0.2723347246646881
2016-08-09,T14,-0.2723347246646881
2016-08-09,T15,-0.2723347246646881
2016-08-09,T16,-0.2723347246646881
2016-08-09,T17,-0.2723347246646881
2016-08-09,T18,-0.2723347246646881
2016-08-09,T19,-0.2723347246646881
2016-09-09,T1,
2016-09-09,T2,
2016-09-09,T3,
2016-09-09,T4,
2016-09-09,T5,
2016-09-09,T6,
2016-09-09,T7,
2016-09-09,T8,
2016-09-09,T9,
2016-09-09,T10,
2016-09-09,T11,
2016-09-09,T12,
2016-09-09,T13,
2016-09-09,T14,
2016-09-09,T15,
2016-09-09,T16,
2016-09-09,T17,
2016-09-09,T18,
2016-09-09,T19,
2016-09-29,T1,
2016-09-29,T2,
2016-09-29,T3,
2016-09-29,T4,
2016-09-29,T5,
2016-09-29,T6,
2016-09-29,T7,
2016-09-29,T8,
2016-09-29,T9,
2016-09-29,T10,
2016-09-29,T11,
2016-09-29,T12,
2016-09-29,T13,
2016-09-29,T14,
2016-09-29,T15,
2016-09-29,T16,
2016-09-29,T17,
2016-09-29,T18,
2016-09-29,T19,
2016-10-28,T1,-0.28408023715019226
2016-10-28,T2,-0.28408023715019226
2016-10-28,T3,-0.28408023715019226
2016-10-28,T4,-0.28408023715019226
2016-10-28,T5,-0.28408023715019226
2016-10-28,T6,-0.28408023715019226
2016-10-28,T7,-0.28408023715019226
2016-10-28,T8,-0.28408023715019226
2016-10-28,T9,-0.28408023715019226
2016-10-28,T10,-0.28408023715019226
2016-10-28,T11,-0.28408023715019226
2016-10-28,T12,-0.28408023715019226
2016-10-28,T13,-0.28408023715019226
2016-10-28,T14,-0.28408023715019226
2016-10-28,T15,-0.28408023715019226
2016-10-28,T16,-0.28408023715019226
2016-10-28,T17,-0.28408023715019226
2016-10-28,T18,-0.28408023715019226
2016-10-28,T19,-0.28408023715019226
2016-11-08,T1,
2016-11-08,T2,
2016-11-08,T3,
2016-11-08,T4,
2016-11-08,T5,
2016-11-08,T6,
2016-11-08,T7,
2016-11-08,T8,
2016-11-08,T9,
2016-11-08,T10,
2016-11-08,T11,
2016-11-08,T12,
2016-11-08,T13,
2016-11-08,T14,
2016-11-08,T15,
2016-11-08,T16,
2016-11-08,T17,
2016-11-08,T18,
2016-11-08,T19,
2016-11-28,T1,
2016-11-28,T2,
2016-11-28,T3,
2016-11-28,T4,
2016-11-28,T5,
2016-11-28,T6,
2016-11-28,T7,
2016-11-28,T8,
2016-11-28,T9,
2016-11-28,T10,
2016-11-28,T11,
2016-11-28,T12,
2016-11-28,T13,
2016-11-28,T14,
2016-11-28,T15,
2016-11-28,T16,
2016-11-28,T17,
2016-11-28,T18,
2016-11-28,T19,
2016-11-29,T1,-0.41737520694732666
2016-11-29,T2,-0.41737520694732666
2016-11-29,T3,-0.41737520694732666
2016-11-29,T4,-0.41737520694732666
2016-11-29,T5,-0.41737520694732666
2016-11-29,T6,-0.41737520694732666
2016-11-29,T7,-0.41737520694732666
2016-11-29,T8,-0.41737520694732666
2016-11-29,T9,-0.41737520694732666
2016-11-29,T10,-0.41737520694732666
2016-11-29,T11,-0.41737520694732666
2016-11-29,T12,-0.41737520694732666
2016-11-29,T13,-0.41737520694732666
2016-11-29,T14,-0.41737520694732666
