dates,transect_id,longitude,latitude
2016-01-03 05:39:16+00:00,T1,266738.2404459784,580515.5825347842
2016-01-03 05:39:16+00:00,T2,266713.36994428834,580595.7010234877
2016-01-03 05:39:16+00:00,T3,266624.4019085116,580600.6300977196
2016-01-03 05:39:16+00:00,T4,266575.5724907135,580610.7868265909
2016-01-03 05:39:16+00:00,T5,266544.17715688533,580606.6412512057
2016-01-03 05:39:16+00:00,T6,266518.2770078896,580605.6818233
2016-01-03 05:39:16+00:00,T7,266492.20541098545,580602.9565885544
2016-01-03 05:39:16+00:00,T8,266456.01978706964,580602.5663081353
2016-01-03 05:39:16+00:00,T9,266396.0603032309,580599.5035648135
2016-01-03 05:39:16+00:00,T10,266305.59446954064,580559.9807998228
2016-01-03 05:39:16+00:00,T11,266339.90945904655,580499.438922803
2016-01-03 05:39:16+00:00,T12,266406.20482909435,580481.8179313408
2016-01-03 05:39:16+00:00,T13,266461.9323380293,580473.3474717422
2016-01-03 05:39:16+00:00,T14,266493.50961445394,580468.2278443757
2016-01-03 05:39:16+00:00,T15,266519.97092087637,580466.9357957938
2016-01-03 05:39:16+00:00,T16,266545.8576637677,580469.288361974
2016-01-03 05:39:16+00:00,T17,266582.00640979223,580464.1210636208
2016-01-03 05:39:16+00:00,T18,266631.86441934924,580447.359856382
2016-01-03 05:39:16+00:00,T19,266692.94727054384,580464.5715085329
2016-01-23 05:39:10+00:00,T1,266736.8867903379,580516.7575089707
2016-01-23 05:39:10+00:00,T2,266715.90186822216,580601.6078331894
2016-01-23 05:39:10+00:00,T3,266625.4788500373,580608.2314923246
2016-01-23 05:39:10+00:00,T4,266575.42939247715,580615.5930802297
2016-01-23 05:39:10+00:00,T5,266543.82996769244,580614.0387119992
2016-01-23 05:39:10+00:00,T6,266518.0470936008,580612.2165138187
2016-01-23 05:39:10+00:00,T7,266492.06577960035,580607.8179482766
2016-01-23 05:39:10+00:00,T8,266455.85382988595,580606.6032468174
2016-01-23 05:39:10+00:00,T9,266396.449737927,580597.4083024258
2016-01-23 05:39:10+00:00,T10,266220.3811450569,580614.1299070336
2016-01-23 05:39:10+00:00,T11,266344.09025317145,580502.3091437765
2016-01-23 05:39:10+00:00,T12,266407.5837286145,580491.6562775591
2016-01-23 05:39:10+00:00,T13,266462.6656109579,580484.6990765409
2016-01-23 05:39:10+00:00,T14,266493.66275483347,580472.2840305712
2016-01-23 05:39:10+00:00,T15,266520.0358683088,580468.1731337368
2016-01-23 05:39:10+00:00,T16,266545.2952615795,580463.219123749
2016-01-23 05:39:10+00:00,T17,266580.4647936947,580455.8458301941
2016-01-23 05:39:10+00:00,T18,266633.58422999753,580439.053766563
2016-01-23 05:39:10+00:00,T19,266693.61308364826,580463.647179538
2016-02-02 05:37:03+00:00,T1,266725.70344477764,580526.4646619264
2016-02-02 05:37:03+00:00,T2,266713.58340938383,580596.199023321
2016-02-02 05:37:03+00:00,T3,266623.95962891553,580597.5083481586
2016-02-02 05:37:03+00:00,T4,266575.7057752898,580606.3101852558
2016-02-02 05:37:03+00:00,T5,266544.1372672772,580607.491167672
2016-02-02 05:37:03+00:00,T6,266518.2589480816,580606.1951243937
2016-02-02 05:37:03+00:00,T7,266492.23924937786,580601.7784823736
2016-02-02 05:37:03+00:00,T8,266456.11449891294,580600.2624253173
2016-02-02 05:37:03+00:00,T9,266396.76055270305,580595.7360361473
2016-02-02 05:37:03+00:00,T10,266307.420929028,580558.8201697078
2016-02-02 05:37:03+00:00,T11,266321.2495608676,580486.6284304622
2016-02-02 05:37:03+00:00,T12,266405.27795166825,580475.2047293726
2016-02-02 05:37:03+00:00,T13,266461.4264455406,580465.5158835594
2016-02-02 05:37:03+00:00,T14,266492.8982612592,580452.0351041148
2016-02-02 05:37:03+00:00,T15,266519.1298273923,580450.9118077434
2016-02-02 05:37:03+00:00,T16,266543.9712062705,580448.930404284
2016-02-02 05:37:03+00:00,T17,266578.53513397893,580445.4876193485
2016-02-02 05:37:03+00:00,T18,266632.75706369284,580443.0486933469
2016-02-02 05:37:03+00:00,T19,266688.8307167034,580470.2864006669
2016-02-12 05:37:02+00:00,T1,266732.0712554136,580520.9373971644
2016-02-12 05:37:02+00:00,T2,266715.8128888907,580601.4002503424
2016-02-12 05:37:02+00:00,T3,266625.0898868879,580605.4860671412
2016-02-12 05:37:02+00:00,T4,266575.55195433367,580611.4765838702
2016-02-12 05:37:02+00:00,T5,266543.9088769775,580612.3574144405
2016-02-12 05:37:02+00:00,T6,266518.12372930435,580610.0383516522
2016-02-12 05:37:02+00:00,T7,266492.14794385614,580604.9573449582
2016-02-12 05:37:02+00:00,T8,266455.99762493523,580603.1054060857
2016-02-12 05:37:02+00:00,T9,266396.4410514286,580597.4550381006
2016-02-12 05:37:02+00:00,T10,266308.60794030305,580558.0658792118
2016-02-12 05:37:02+00:00,T11,266319.1535063224,580485.1894359704
2016-02-12 05:37:02+00:00,T12,266404.55087723647,580470.0171070102
2016-02-12 05:37:02+00:00,T13,266460.88941364165,580457.2022343801
2016-02-12 05:37:02+00:00,T14,266492.7142276864,580447.1606585914
2016-02-12 05:37:02+00:00,T15,266518.844195332,580445.4701240214
2016-02-12 05:37:02+00:00,T16,266543.44408647384,580443.2419206932
2016-02-12 05:37:02+00:00,T17,266577.8454345698,580441.785385301
2016-02-12 05:37:02+00:00,T18,266633.62658911035,580438.8491867181
2016-02-12 05:37:02+00:00,T19,266689.39509593946,580469.5028893655
2016-03-18 05:25:01+00:00,T1,266714.83227515727,580535.9008459148
2016-03-18 05:25:01+00:00,T2,266703.30428497505,580572.2185115165
2016-03-18 05:25:01+00:00,T3,266623.83812998584,580596.6507702059
2016-03-18 05:25:01+00:00,T4,266575.62043882563,580609.1763889347
2016-03-18 05:25:01+00:00,T5,266544.0516397131,580609.3156096801
2016-03-18 05:25:01+00:00,T6,266518.18180788663,580608.3876253611
2016-03-18 05:25:01+00:00,T7,266492.11949282937,580605.9478864154
2016-03-18 05:25:01+00:00,T8,266456.52312586945,580590.3225002657
2016-03-18 05:25:01+00:00,T9,266398.6928872048,580585.3395618654
2016-03-18 05:25:01+00:00,T10,266321.3252245194,580549.9846361593
2016-03-18 05:25:01+00:00,T11,266312.5559420867,580480.6600411527
2016-03-18 05:25:01+00:00,T12,266401.2574428001,580446.5186955888
2016-03-18 05:25:01+00:00,T13,266459.68047261087,580438.4869371547
2016-03-18 05:25:01+00:00,T14,266492.22208568256,580434.1254316424
2016-03-18 05:25:01+00:00,T15,266518.11279756896,580431.5359903763
2016-03-18 05:25:01+00:00,T16,266542.24319871503,580430.2823802741
2016-03-18 05:25:01+00:00,T17,266575.04501636844,580426.753034286
2016-03-18 05:25:01+00:00,T18,266636.4190677341,580425.3624820686
2016-03-18 05:25:01+00:00,T19,266697.0755673985,580458.8403139132
2016-03-23 05:32:16+00:00,T1,266713.85689029365,580536.7474807622
2016-03-23 05:32:16+00:00,T2,266711.09377711784,580590.3908772602
2016-03-23 05:32:16+00:00,T3,266626.9382418462,580618.5323422382
2016-03-23 05:32:16+00:00,T4,266575.0903281436,580626.9812652161
2016-03-23 05:32:16+00:00,T5,266543.179850829,580627.8905659952
2016-03-23 05:32:16+00:00,T6,266517.5287157922,580626.9499980621
2016-03-23 05:32:16+00:00,T7,266491.6070138869,580623.790182314
2016-03-23 05:32:16+00:00,T8,266455.3622939799,580618.5599471495
2016-03-23 05:32:16+00:00,T9,266393.67913807,580612.3148675844
2016-03-23 05:32:16+00:00,T10,266304.1157512965,580560.92045654
2016-03-23 05:32:16+00:00,T11,266332.0226630282,580494.024437739
2016-03-23 05:32:16+00:00,T12,266406.95542687946,580487.1733910915
2016-03-23 05:32:16+00:00,T13,266461.65418245835,580469.0414187153
2016-03-23 05:32:16+00:00,T14,266493.36558248714,580464.4129101478
2016-03-23 05:32:16+00:00,T15,266519.8098478863,580463.8671337288
2016-03-23 05:32:16+00:00,T16,266545.2928537316,580463.1931391369
2016-03-23 05:32:16+00:00,T17,266581.5379561528,580461.6064536463
2016-03-23 05:32:16+00:00,T18,266629.0896229875,580460.7611618297
2016-03-23 05:32:16+00:00,T19,266676.5842118727,580487.2878676318
2016-04-03 05:24:52+00:00,T1,266715.0807402827,580535.6851779858
2016-04-03 05:24:52+00:00,T2,266704.04335701634,580573.9427173054
